canonical_name,proposed_category,proposed_subcategory,proposed_food_group,proposed_form,proposed_contains_tags,flags,source_count,variants_count,confidence
ale,Alcoholic beverages,Beer,Beverages,,,,2,2,high
beer,Alcoholic beverages,Beer,Beverages,,,,5,5,high
lager beer,Alcoholic beverages,Beer,Beverages,,,,2,2,high
amber beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
beer -,Alcoholic beverages,Beer,Beverages,,,,1,1,low
beers,Alcoholic beverages,Beer,Beverages,,,,1,1,low
bock beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
brown ale,Alcoholic beverages,Beer,Beverages,,,,1,1,low
brown beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
cheap beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
cold beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
coors beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
dark ale,Alcoholic beverages,Beer,Beverages,,,,1,1,low
dark beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
flat beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
guinness beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
ipa beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
irish stout,Alcoholic beverages,Beer,Beverages,,,,1,1,low
lager,Alcoholic beverages,Beer,Beverages,,,,1,1,low
lager-style beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
light ale,Alcoholic beverages,Beer,Beverages,,,,1,1,low
light beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
lite beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
mexican beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
pale ale,Alcoholic beverages,Beer,Beverages,,,,1,1,low
pilsner beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
root beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
root beer concentrate,Alcoholic beverages,Beer,Beverages,,,,1,1,low
stale beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
stout,Alcoholic beverages,Beer,Beverages,,,,1,1,low
stout beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
warm beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
white ale,Alcoholic beverages,Beer,Beverages,,,,1,1,low
white beer,Alcoholic beverages,Beer,Beverages,,,,1,1,low
applejack brandy,Alcoholic beverages,Brandy,Beverages,,,,1,1,low
armagnac,Alcoholic beverages,Brandy,Beverages,,,,1,1,low
brandy,Alcoholic beverages,Brandy,Beverages,,,,1,1,low
brandy optional,Alcoholic beverages,Brandy,Beverages,,,,1,1,low
calvados,Alcoholic beverages,Brandy,Beverages,,,,1,1,low
cognac,Alcoholic beverages,Brandy,Beverages,,,,1,1,low
fluid ounces brandy,Alcoholic beverages,Brandy,Beverages,,,,1,1,low
glass brandy,Alcoholic beverages,Brandy,Beverages,,,,1,1,low
metaxa brandy,Alcoholic beverages,Brandy,Beverages,,,,1,1,low
spanish brandy,Alcoholic beverages,Brandy,Beverages,,,,1,1,low
cider,Alcoholic beverages,Cider,Beverages,,,,2,2,high
alcoholic cider,Alcoholic beverages,Cider,Beverages,,,,1,1,low
boiled cider,Alcoholic beverages,Cider,Beverages,,,,1,1,low
dry cider,Alcoholic beverages,Cider,Beverages,,,,1,1,low
hard cider,Alcoholic beverages,Cider,Beverages,,,,1,1,low
sparkling cider,Alcoholic beverages,Cider,Beverages,,,,1,1,low
sweet cider,Alcoholic beverages,Cider,Beverages,,,,1,1,low
virtue cider michigan,Alcoholic beverages,Cider,Beverages,,,,1,1,low
aromatic bitters,Alcoholic beverages,Cocktail mixers,Beverages,,,,1,1,low
drops bitters,Alcoholic beverages,Cocktail mixers,Beverages,,,,1,1,low
drops grenadine,Alcoholic beverages,Cocktail mixers,Beverages,,,,1,1,low
fluid grenadine,Alcoholic beverages,Cocktail mixers,Beverages,,,,1,1,low
grenadine,Alcoholic beverages,Cocktail mixers,Beverages,,,,1,1,low
