# Missing subcategories
# (category, subcategory) pairs proposed for unmatched ingredients that do not
# exist in the project today.
#
# Current dataset has 292 subcategory NAMES across 40 categories.
#
# Sorted alphabetically by subcategory name.  Rows whose CATEGORY is itself new
# are flagged in the category_status column (see MISSING_CATEGORIES.txt).
#
# category_status: 'NEW category' (defined in MISSING_CATEGORIES.txt) or 'existing'.
#
category,subcategory,food_group,category_status
Margarine & shortening,Animal fats,Fats & oils,NEW category
Prepared mixes,Baking mixes,Grains,NEW category
Alcoholic beverages,Beer,Condiments & sauces,NEW category
Bread & baked goods,Biscuits,Grains,NEW category
Alcoholic beverages,Brandy,Condiments & sauces,NEW category
Bread & baked goods,Bread,Grains,NEW category
Bread & baked goods,Bread crumbs,Grains,NEW category
Prepared soups & broths,Broths & stocks,Condiments & sauces,NEW category
Prepared mixes,Cake mixes,Sweets,NEW category
Pickled vegetables,Capers,Condiments & sauces,NEW category
Prepared mixes,Cereals,Grains,NEW category
Alcoholic beverages,Cider,Condiments & sauces,NEW category
Alcoholic beverages,Cocktail mixers,Condiments & sauces,NEW category
Coffee & tea,Coffee,Herbs & spices,NEW category
Prepared mixes,Cookie mixes,Sweets,NEW category
Bread & baked goods,Cookies,Grains,NEW category
Bread & baked goods,Cornbread,Grains,NEW category
Bread & baked goods,Crackers,Grains,NEW category
Bread & baked goods,Croutons,Grains,NEW category
Soft drinks,Dairy beverages,Sweets,NEW category
Bread & baked goods,Flatbread,Grains,NEW category
Extracts & essences,Food coloring,Herbs & spices,existing
Frozen dairy,Frozen desserts,Dairy,existing
Juices,Fruit juices,Fruits,NEW category
Juices,Fruit nectars,Fruits,NEW category
Jams & preserves,Fruit preserves,Sweets,NEW category
Prepared mixes,Gelatins,Sweets,NEW category
Alcoholic beverages,Gin,Condiments & sauces,NEW category
Bread & baked goods,Graham crackers,Grains,NEW category
Aged cheese,Hard grating cheese,Dairy,existing
Alcoholic beverages,Liqueurs,Condiments & sauces,NEW category
