### Aged cheese  (36)
    appenzeller                      Appenzeller
    asiago                           Asiago
    blue-cheese                      Blue cheese
    brie                             Brie
    caciocavallo                     Caciocavallo
    cambozola                        Cambozola
    camembert                        Camembert
    cheddar                          Cheddar
    cheese-curds                     Cheese curds (cheddar)
    comte                            Comté
    cotija                           Cotija
    edam                             Edam
    emmental                         Emmental
    feta                             Feta
    fontina                          Fontina
    gjetost                          Gjetost (Norwegian brown cheese)
    gorgonzola                       Gorgonzola
    gouda                            Gouda
    gouda-aged                       Gouda (aged)
    gruyere                          Gruyère
    havarti                          Havarti
    jarlsberg                        Jarlsberg
    limburger                        Limburger
    manchego                         Manchego
    mozzarella-low-moisture          Mozzarella (low-moisture)
    muenster                         Muenster (American)
    parmesan                         Parmesan
    pecorino-romano                  Pecorino Romano
    pecorino-toscano                 Pecorino Toscano
    provolone                        Provolone
    raclette                         Raclette cheese
    ricotta-salata                   Ricotta salata
    romano-cheese                    Romano cheese
    roquefort                        Roquefort
    stilton                          Stilton
    swiss                            Swiss cheese

### Alcoholic beverages  (33)
    absinthe                         Absinthe
    ale                              Ale
    amaretto                         Amaretto
    beer-lager                       Beer (lager)
    bourbon                          Bourbon whiskey
    brandy                           Brandy / cognac
    wine-champagne                   Champagne
    kahlua                           Coffee liqueur (Kahlua-style)
    baileys-style                    Cream liqueur (Baileys-style)
    gin                              Gin
    hard-cider                       Hard cider
    ipa                              IPA (India Pale Ale)
    marsala-wine                     Marsala wine (cooking)
    schnapps-peppermint              Peppermint schnapps
    port-wine                        Port wine
    wine-red                         Red wine
    wine-rose                        Rosé wine
    rum-dark                         Rum (dark)
    rum-light                        Rum (white)
    rye-whiskey                      Rye whiskey
    sake                             Sake
    sambuca                          Sambuca
    scotch-whisky                    Scotch whisky
    sherry-dry                       Sherry (dry)
    wine-sparkling                   Sparkling wine / prosecco
    stout-beer                       Stout
    tequila                          Tequila
    triple-sec                       Triple sec / Cointreau
    vermouth-dry                     Vermouth (dry)
    vermouth-sweet                   Vermouth (sweet)
    vodka                            Vodka
    wheat-beer                       Wheat beer
    wine-white                       White wine

### Baked snacks & pastries  (36)
    biscotti                         Biscotti
    biscuit                          Biscuit (American)
    biscuit-mix                      Biscuit mix (Bisquick-style)
    blueberry-muffin                 Blueberry muffin
    bran-muffin                      Bran muffin
    breadstick                       Breadstick (grissini)
    buttermilk-biscuit               Buttermilk biscuit
