kind,id,name,pattern,category
applied,ackee-saltfish,Ackee and saltfish,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,ackee-saltfish,Ackee and saltfish,\b(buttery|butter[- ]?fried|butter[- ]?braised|brown(ed)? butter)\b,Cream & butter
applied,adana-kebab,Adana kebab,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,aji-de-gallina,Ají de gallina,\b(creamy|cream sauce|cream-based|in cream|with cream\b)\b,Cream & butter
applied,anticuchos,Anticuchos,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,asado-plate,Asado plate,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,ash-reshteh,Ash reshteh,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,bbq-plate,BBQ plate,\b(creamy|cream sauce|cream-based|in cream|with cream\b)\b,Cream & butter
applied,baba-ganoush,Baba ganoush,\b(crusty bread|baguette|focaccia|naan|pita|tortilla|toast points?|served with bread|on toast|sandwich|wrap)\b,Bread & rolls
applied,bangers-and-mash,Bangers and mash,\b(creamy|cream sauce|cream-based|in cream|with cream\b)\b,Cream & butter
applied,bistro-plate,Bistro plate,\b(crusty bread|baguette|focaccia|naan|pita|tortilla|toast points?|served with bread|on toast|sandwich|wrap)\b,Bread & rolls
applied,bouillabaisse,Bouillabaisse,\b(crusty bread|baguette|focaccia|naan|pita|tortilla|toast points?|served with bread|on toast|sandwich|wrap)\b,Bread & rolls
applied,brik,Brik,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,brunch-platter,Brunch platter,\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,buffalo-wings,Buffalo wings,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,bulgogi-plate,Bulgogi plate,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,bun-bo-hue,Bun bo Hue,\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,butter-chicken,Butter chicken,\b(crusty bread|baguette|focaccia|naan|pita|tortilla|toast points?|served with bread|on toast|sandwich|wrap)\b,Bread & rolls
applied,bun-cha,Bún chả,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,bun-cha,Bún chả,\b(soy sauce|tamari|fish sauce|oyster sauce|hoisin)\b,Sauces
applied,callaloo,Callaloo,\b(garlic|garlicky)\b,Other vegetables
applied,chapli-kebab,Chapli kebab,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,borek-cheese,Cheese börek,\b(buttery|butter[- ]?fried|butter[- ]?braised|brown(ed)? butter)\b,Cream & butter
applied,cheeseburger,Cheeseburger,\b(buttery|butter[- ]?fried|butter[- ]?braised|brown(ed)? butter)\b,Cream & butter
applied,chicken-rice-bowl,Chicken & rice bowl,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,chicken-rice-bowl,Chicken & rice bowl,\b(jasmine rice|basmati rice|long[- ]?grain rice|white rice|fluffy rice)\b,Refined grains
applied,chicken-and-waffles,Chicken and waffles,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,shawarma-chicken,Chicken shawarma,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,shawarma-chicken,Chicken shawarma,\b(garlic|garlicky)\b,Other vegetables
applied,chicken-tagine,Chicken tagine (preserved lemon),\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,chimichurri-steak,Chimichurri grilled steak,\b(garlic|garlicky)\b,Other vegetables
applied,chips-and-guacamole,Chips & guacamole,\b(crusty bread|baguette|focaccia|naan|pita|tortilla|toast points?|served with bread|on toast|sandwich|wrap)\b,Bread & rolls
applied,chips-and-queso,Chips & queso,\b(crusty bread|baguette|focaccia|naan|pita|tortilla|toast points?|served with bread|on toast|sandwich|wrap)\b,Bread & rolls
applied,chips-and-salsa,Chips & salsa,\b(crusty bread|baguette|focaccia|naan|pita|tortilla|toast points?|served with bread|on toast|sandwich|wrap)\b,Bread & rolls
applied,chips-and-salsa,Chips & salsa,\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,churrasco-plate,Churrasco plate,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,churros-chocolate,Churros with chocolate,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,congee-rice,Congee,\b(olive oil|sesame oil|coconut oil|vegetable oil|peanut oil|canola oil|chili oil|truffle oil|drizzle of oil|drizzled with oil|splash of oil)\b,Oils
applied,crudite-platter,Crudité platter,\b(creamy|cream sauce|cream-based|in cream|with cream\b)\b,Cream & butter
applied,currywurst,Currywurst,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,com-tam,Cơm tấm,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,doner-kebab,Döner kebab,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,doner-kebab,Döner kebab,\b(garlic|garlicky)\b,Other vegetables
applied,empanadas-argentine,Empanadas argentinas,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,fatteh,Fatteh,\b(buttery|butter[- ]?fried|butter[- ]?braised|brown(ed)? butter)\b,Cream & butter
applied,fatteh,Fatteh,\b(garlic|garlicky)\b,Other vegetables
applied,fruit-and-nuts,Fruit & nuts,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,ful-medames,Ful medames,\b(garlic|garlicky)\b,Other vegetables
applied,full-english-breakfast,Full English breakfast,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,goulash,Goulash,\b(crusty bread|baguette|focaccia|naan|pita|tortilla|toast points?|served with bread|on toast|sandwich|wrap)\b,Bread & rolls
applied,goulash,Goulash,\b(curry|masala|garam masala|curry powder|chili powder|cayenne|paprika|cumin|coriander|turmeric)\b,Ground spices
applied,green-curry-chicken,Green curry chicken,\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,green-curry-chicken,Green curry chicken,\b(curry|masala|garam masala|curry powder|chili powder|cayenne|paprika|cumin|coriander|turmeric)\b,Ground spices
applied,haitian-griot,Haitian griot,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,japanese-breakfast,Japanese breakfast,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,japchae,Japchae,\b(olive oil|sesame oil|coconut oil|vegetable oil|peanut oil|canola oil|chili oil|truffle oil|drizzle of oil|drizzled with oil|splash of oil)\b,Oils
applied,jiaozi-pork-cabbage,Jiaozi (pork & cabbage),\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,kabab-koobideh,Kabab koobideh,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,donburi-katsudon,Katsudon,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,key-lime-pie,Key lime pie,\b(buttery|butter[- ]?fried|butter[- ]?braised|brown(ed)? butter)\b,Cream & butter
applied,khao-soi,Khao soi,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,khao-soi,Khao soi,\b(curry|masala|garam masala|curry powder|chili powder|cayenne|paprika|cumin|coriander|turmeric)\b,Ground spices
applied,korean-bbq,Korean BBQ platter,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,kottu-roti,Kottu roti,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,lahmacun,Lahmacun,\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,massaman-curry,Massaman curry,\b(curry|masala|garam masala|curry powder|chili powder|cayenne|paprika|cumin|coriander|turmeric)\b,Ground spices
applied,snack-board-mediterranean,Mediterranean snack board,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,mee-goreng,Mee goreng,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,milanesa,Milanesa,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,mochi-ice-cream,Mochi ice cream,\b(creamy|cream sauce|cream-based|in cream|with cream\b)\b,Cream & butter
applied,mofongo,Mofongo,\b(garlic|garlicky)\b,Other vegetables
