id,name,tags,rule
corpus-sliced-apples,Sliced apples,"dinner,lunch",default main → lunch + dinner
corpus-pancakes,Pancakes (with milk),breakfast,breakfast
corpus-compound-butter,Compound butter,"dinner,lunch",default main → lunch + dinner
corpus-poached-pears,Poached pears,"dinner,lunch",default main → lunch + dinner
corpus-b-chamel-base,Béchamel base,"dinner,lunch",default main → lunch + dinner
corpus-glass-of-milk,Glass of milk,"dinner,lunch",default main → lunch + dinner
corpus-fruit-nut-platter,Fruit & nut platter,"dinner,lunch",default main → lunch + dinner
corpus-buttered-apples,Buttered apples,"dinner,lunch",default main → lunch + dinner
corpus-mixed-fruit-salad,Mixed fruit salad,"dinner,lunch",default main → lunch + dinner
corpus-berry-peach-bowl,Berry & peach bowl,"dinner,lunch",default main → lunch + dinner
corpus-pastry-dough,Pastry dough,"dinner,lunch",default main → lunch + dinner
corpus-almond-cookies,Almond cookies (buttery),dessert,dessert
corpus-buttered-nuts,Buttered nuts,"dinner,lunch",default main → lunch + dinner
corpus-ricotta-with-fruit,Ricotta with fruit,"dinner,lunch",default main → lunch + dinner
corpus-nut-cake,Nut cake,dessert,dessert
corpus-mixed-berries,Mixed berries,"dinner,lunch",default main → lunch + dinner
corpus-waldorf-style-salad,Waldorf-style salad,"dinner,lunch",default main → lunch + dinner
corpus-apple-walnut-butter-saut,Apple-walnut butter sauté,"dinner,lunch",default main → lunch + dinner
corpus-roasted-vegetables,Roasted vegetables,"dinner,lunch",default main → lunch + dinner
corpus-pound-cake,Pound cake,dessert,dessert
corpus-shortbread-cookies,Shortbread cookies,dessert,dessert
corpus-pie-crust,Pie crust,dessert,dessert
corpus-saut-ed-vegetables,Sautéed vegetables,"dinner,lunch",default main → lunch + dinner
corpus-steamed-vegetable-medley,Steamed vegetable medley,"dinner,lunch",default main → lunch + dinner
corpus-sangria,Sangria,snack,drink → snack
corpus-mulled-apple-wine,Mulled apple wine,"dinner,lunch",default main → lunch + dinner
corpus-beef-vegetables,Beef & vegetables,"dinner,lunch",default main → lunch + dinner
corpus-glass-of-wine,Glass of wine,"dinner,lunch",default main → lunch + dinner
corpus-apple-pancakes-5,Apple pancakes (with milk),breakfast,breakfast
corpus-apple-walnut-muffin,Apple-walnut muffin,"dinner,lunch",default main → lunch + dinner
corpus-peanut-butter-cookies,Peanut butter cookies (buttery),dessert,dessert
corpus-fruit-clafoutis,Fruit clafoutis,"dinner,lunch",default main → lunch + dinner
corpus-creamy-nut-sauce,Creamy nut sauce,"dinner,lunch",default main → lunch + dinner
corpus-b-chamel-2,Béchamel (buttery),"dinner,lunch",default main → lunch + dinner
corpus-mixed-nuts,Mixed nuts,"dinner,lunch",default main → lunch + dinner
corpus-berry-sangria,Berry sangria,snack,drink → snack
corpus-nutty-buttered-milk-bread,Nutty buttered milk bread,"dinner,lunch",default main → lunch + dinner
corpus-nut-shortbread,Nut shortbread (buttery),"dinner,lunch",default main → lunch + dinner
corpus-roasted-root-medley,Roasted root medley,"dinner,lunch",default main → lunch + dinner
corpus-strawberry-apple-compote,Strawberry-apple compote,"dinner,lunch",default main → lunch + dinner
corpus-potato-pancakes,Potato pancakes,breakfast,breakfast
corpus-cheesecake,Cheesecake,dessert,dessert
corpus-cheese-charcuterie,Cheese & charcuterie,"dinner,lunch",default main → lunch + dinner
corpus-peanut-butter-oatmeal,"Peanut butter oatmeal (buttery, with milk)",breakfast,breakfast
corpus-yogurt-flatbread,Yogurt flatbread,"dinner,lunch",default main → lunch + dinner
corpus-greens-potato-salad,Greens & potato salad,"dinner,lunch",default main → lunch + dinner
corpus-sweet-potato-fritter,Sweet-potato fritter,"dinner,lunch",default main → lunch + dinner
corpus-apple-egg-pancake,Apple-egg pancake,breakfast,breakfast
corpus-whole-wheat-apple-crisp,Whole-wheat apple crisp,"dinner,lunch",default main → lunch + dinner
corpus-pancake-batter,Pancake batter,breakfast,breakfast
corpus-cheesy-roasted-veg,Cheesy roasted veg,"dinner,lunch",default main → lunch + dinner
corpus-apple-turnover,Apple turnover,"dinner,lunch",default main → lunch + dinner
corpus-sour-cream-pound-cake,Sour cream pound cake,dessert,dessert
corpus-peanut-milk-oats,Peanut milk oats,"dinner,lunch",default main → lunch + dinner
corpus-apple-pecan-cake,Apple-pecan cake,dessert,dessert
corpus-nutty-buttered-eggs,Nutty buttered eggs,"dinner,lunch",default main → lunch + dinner
corpus-fruit-smoothie,Fruit smoothie,snack,drink → snack
corpus-apple-milkshake,Apple milkshake,snack,drink → snack
corpus-apple-egg-butter-dessert,Apple-egg butter dessert,dessert,dessert
corpus-yorkshire-pudding,Yorkshire pudding,"dinner,lunch",default main → lunch + dinner
corpus-egg-with-milk,Egg with milk,"dinner,lunch",default main → lunch + dinner
corpus-peanut-butter-oatmeal-2,Peanut butter oatmeal,breakfast,breakfast
corpus-whole-wheat-cookies,Whole-wheat cookies,dessert,dessert
corpus-ricotta-plate,Ricotta plate,"dinner,lunch",default main → lunch + dinner
corpus-beef-brown-rice,Beef & brown rice,"dinner,lunch",default main → lunch + dinner
corpus-strawberries-with-cream,Strawberries with cream,"dinner,lunch",default main → lunch + dinner
corpus-whipped-peanut-butter,Whipped peanut butter,"dinner,lunch",default main → lunch + dinner
corpus-beef-beans,Beef & beans,"dinner,lunch",default main → lunch + dinner
corpus-berry-nut-fruit-bowl,Berry-nut fruit bowl,"dinner,lunch",default main → lunch + dinner
corpus-buttered-vegetables,Buttered vegetables,"dinner,lunch",default main → lunch + dinner
corpus-beef-stir-fry,Beef stir-fry,"dinner,lunch",default main → lunch + dinner
corpus-bacon-stewed-greens,Bacon-stewed greens,"dinner,lunch",default main → lunch + dinner
