id,name,tags,rule
corpus-titled-chicken-casserole,Chicken Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-broccoli-casserole,Broccoli Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-banana-bread,Banana Bread,"dinner,lunch",default main → lunch + dinner
corpus-titled-cheese-ball,Cheese Ball,"dinner,lunch",default main → lunch + dinner
corpus-titled-squash-casserole,Squash Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-zucchini-bread,Zucchini Bread,"dinner,lunch",default main → lunch + dinner
corpus-titled-chili,Chili,"dinner,lunch",default main → lunch + dinner
corpus-titled-meat-loaf,Meat Loaf,"dinner,lunch",default main → lunch + dinner
corpus-titled-baked-beans,Baked Beans,"dinner,lunch",default main → lunch + dinner
corpus-titled-fruit-salad,Fruit Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-pumpkin-bread,Pumpkin Bread,"dinner,lunch",default main → lunch + dinner
corpus-titled-carrot-cake,Carrot Cake,dessert,dessert
corpus-titled-corn-casserole,Corn Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-cranberry-salad,Cranberry Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-potato-casserole,Potato Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-chocolate-chip-cookies,Chocolate Chip Cookies,dessert,dessert
corpus-titled-broccoli-salad,Broccoli Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-brownies,Brownies,dessert,dessert
corpus-titled-banana-nut-bread,Banana Nut Bread,"dinner,lunch",default main → lunch + dinner
corpus-titled-sweet-potato-casserole,Sweet Potato Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-taco-salad,Taco Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-apple-crisp,Apple Crisp,"dinner,lunch",default main → lunch + dinner
corpus-titled-sugar-cookies,Sugar Cookies,dessert,dessert
corpus-titled-peanut-brittle,Peanut Brittle,"dinner,lunch",default main → lunch + dinner
corpus-titled-peanut-butter-pie,Peanut Butter Pie,dessert,dessert
corpus-titled-peach-cobbler,Peach Cobbler,dessert,dessert
corpus-titled-peanut-butter-fudge,Peanut Butter Fudge,dessert,dessert
corpus-titled-beef-stroganoff,Beef Stroganoff,"dinner,lunch",default main → lunch + dinner
corpus-titled-sausage-balls,Sausage Balls,"dinner,lunch",default main → lunch + dinner
corpus-titled-corn-pudding,Corn Pudding,"dinner,lunch",default main → lunch + dinner
corpus-titled-breakfast-casserole,Breakfast Casserole,breakfast,breakfast
corpus-titled-strawberry-pie,Strawberry Pie,dessert,dessert
corpus-titled-barbecue-sauce,Barbecue Sauce,"dinner,lunch",default main → lunch + dinner
corpus-titled-green-bean-casserole,Green Bean Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-potato-soup,Potato Soup,"dinner,lunch",default main → lunch + dinner
corpus-titled-dump-cake,Dump Cake,dessert,dessert
corpus-titled-spinach-dip,Spinach Dip,"dinner,lunch",default main → lunch + dinner
corpus-titled-fresh-apple-cake,Fresh Apple Cake,dessert,dessert
corpus-titled-banana-pudding,Banana Pudding,dessert,dessert
corpus-titled-monkey-bread,Monkey Bread,"dinner,lunch",default main → lunch + dinner
corpus-titled-potato-salad,Potato Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-chocolate-pie,Chocolate Pie,dessert,dessert
corpus-titled-oatmeal-cookies,Oatmeal Cookies,dessert,dessert
corpus-titled-macaroni-and-cheese,Macaroni And Cheese,"dinner,lunch",default main → lunch + dinner
corpus-titled-fudge,Fudge,dessert,dessert
corpus-titled-shrimp-dip,Shrimp Dip,"dinner,lunch",default main → lunch + dinner
corpus-titled-punch,Punch,"dinner,lunch",default main → lunch + dinner
corpus-titled-spaghetti-sauce,Spaghetti Sauce,"dinner,lunch",default main → lunch + dinner
corpus-titled-chicken-salad,Chicken Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-taco-dip,Taco Dip,"dinner,lunch",default main → lunch + dinner
corpus-titled-chocolate-cake,Chocolate Cake,dessert,dessert
corpus-titled-scalloped-potatoes,Scalloped Potatoes,"dinner,lunch",default main → lunch + dinner
corpus-titled-banana-split-cake,Banana Split Cake,dessert,dessert
corpus-titled-fruit-dip,Fruit Dip,"dinner,lunch",default main → lunch + dinner
corpus-titled-pasta-salad,Pasta Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-zucchini-casserole,Zucchini Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-chicken-enchiladas,Chicken Enchiladas,"dinner,lunch",default main → lunch + dinner
corpus-titled-vegetable-casserole,Vegetable Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-sweet-potato-pie,Sweet Potato Pie,dessert,dessert
corpus-titled-rice-pudding,Rice Pudding,dessert,dessert
corpus-titled-caramel-corn,Caramel Corn,"dinner,lunch",default main → lunch + dinner
corpus-titled-macaroni-salad,Macaroni Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-hot-chicken-salad,Hot Chicken Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-coconut-pie,Coconut Pie,dessert,dessert
corpus-titled-hamburger-casserole,Hamburger Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-mexican-cornbread,Mexican Cornbread,"dinner,lunch",default main → lunch + dinner
corpus-titled-mexican-casserole,Mexican Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-sloppy-joes,Sloppy Joes,"dinner,lunch",default main → lunch + dinner
corpus-titled-stuffed-mushrooms,Stuffed Mushrooms,"dinner,lunch",default main → lunch + dinner
corpus-titled-hush-puppies,Hush Puppies,"dinner,lunch",default main → lunch + dinner
corpus-titled-cheese-cake,Cheese Cake,dessert,dessert
corpus-titled-chicken-divan,Chicken Divan,"dinner,lunch",default main → lunch + dinner
corpus-titled-chicken-and-rice,Chicken And Rice,"dinner,lunch",default main → lunch + dinner
